"ASVID"	"AS1A1"	"AS1A2"	"AS1A3"	"AS1B1"	"AS1B2"	"AS1B3"	"AS1C1"	"AS1C2"	"AS1C3"	"AS2A1"	"AS2A2"	"AS2A3"	"AS2B1"	"AS2B2"	"AS2B3"	"AS2C1"	"AS2C2"	"AS2C3"	"S3C1"	"S3C2"	"S3C3"
"1"	"88c2f5ea8fd2f13cbd43e933049707c9"	45	22	37	50	55	51	49	70	54	68	24	80	62	37	39	114	118	122	8	56	16
"2"	"bab6b4a509dd01b93cbbf78e40616533"	81	48	79	96	87	94	30	30	44	89	52	89	81	34	70	34	38	55	0	9	2
"3"	"24b484137e882a5c77ea93b4574332e1"	70	16	53	86	55	74	11	25	19	90	46	66	43	53	65	22	28	38	0	0	4
"4"	"5d112573567f99604339d5d6b92bdea9"	35	14	26	63	45	50	43	47	44	53	18	41	46	37	43	50	52	55	8	34	4
"5"	"864ea29bffe398510cca601c0ce546c2"	61	32	37	72	75	61	14	0	6	55	49	80	69	56	61	23	12	25	0	6	0
"6"	"0d808daa4a3a539121a98948ba6caf1f"	25	19	23	43	35	41	21	30	32	20	9	24	16	21	14	67	50	70	3	10	0
"7"	"e5e2af25aff0a87b52b57402a54038cb"	16	8	25	13	19	32	35	20	15	18	30	52	19	19	33	29	43	31	3	6	2
"8"	"0e07067058d109125c2f7560f4c25861"	43	23	33	31	37	38	8	0	0	49	27	42	44	26	51	4	0	0	0	2	0
"9"	"1131543a8810cc8a06d602bebd6db721"	26	10	34	55	65	60	10	0	14	29	15	43	24	19	23	0	8	12	0	0	0
"10"	"34d889548105074cb503b055a2e2114c"	32	0	15	13	5	20	32	36	28	33	30	56	21	5	21	11	4	23	9	9	2
"11"	"5eeea51a9c3f3e2d14a9e232039ebccc"	27	2	9	22	18	13	25	19	18	21	12	19	16	9	24	36	39	45	0	11	7
"12"	"3e1b6d111006d219e4187ad30db0b0bc"	6	4	4	7	8	9	34	29	70	4	10	19	6	2	6	37	45	42	8	30	6
"13"	"908e35f0136778450bdaccfed2e7aa34"	16	0	15	19	7	10	9	12	11	23	20	36	32	12	17	46	31	26	6	15	5
"14"	"4730261ecdcf47f4176a3dd3d645b264"	15	7	20	19	4	6	19	3	38	23	22	28	14	4	19	35	20	46	10	12	0
"15"	"cc7109f425a9ea89e805a00cd318c28c"	0	6	1	8	7	5	37	33	41	4	0	5	5	1	0	46	28	47	16	60	13
"16"	"f032a1631a3bb01cac5c90dc489d719c"	8	12	5	14	17	9	23	54	59	7	8	16	8	0	0	32	10	43	4	10	5
"17"	"dd4914e51e52134d50b9f0d2bd5bd588"	31	15	4	48	40	35	6	1	12	23	7	13	24	17	23	1	6	18	2	0	0
"18"	"df2679278e1fcc3c336223f7bc77426c"	23	0	34	36	32	30	5	0	2	24	20	33	25	15	17	10	6	3	0	0	0
"19"	"9c77669526c2d80b46561cd7be012890"	9	10	14	23	14	20	13	15	11	13	12	1	15	0	9	22	39	37	0	20	3
"20"	"0a4411a7d7a360c683248de681d45ea2"	35	17	11	36	28	25	2	15	14	15	11	18	17	6	7	10	16	14	0	2	0
"21"	"24d784cd34f27ab260f4e5fc79f6bbf2"	19	14	23	23	28	23	9	3	12	27	9	29	19	19	29	2	0	3	0	4	0
"22"	"831d6f1ad1a389c2f27fc5fdd556cb8b"	25	0	20	33	30	31	0	0	0	24	17	27	20	16	22	13	15	0	0	0	0
"23"	"2caa6bfa7e7816ff6a35df9821cb810b"	17	0	22	32	22	54	4	3	5	27	24	22	21	6	26	4	0	2	0	0	0
"24"	"9d9f65926420de5e0faf6332fa4e84d9"	26	10	24	18	18	40	2	0	3	29	15	26	20	21	30	0	0	3	2	0	0
"25"	"238bc1a9fd8270c83d16494228870c13"	23	0	31	40	29	32	0	19	16	23	3	23	17	12	13	0	0	0	0	0	0
"26"	"5be69c4a567e06aa8c2f2b6db0518f1f"	2	3	4	2	4	5	19	15	33	3	10	6	3	0	0	34	32	45	7	34	18
"27"	"8977d5825ac7cbccb6dfe4a501388237"	15	0	14	14	12	25	12	6	11	10	19	25	13	0	8	15	27	19	7	16	4
"28"	"29236dd929c6a0f4a1cc262556b75532"	6	4	0	22	9	10	22	21	25	0	6	8	2	5	2	25	25	31	11	30	6
"29"	"ffac0337b1d186f1dbf96d8dce787a40"	38	12	36	12	17	24	0	0	0	31	39	14	12	10	20	0	3	0	0	0	0
"30"	"d0e8a4070e6e6ecbd444e34e17d77f6c"	22	19	0	35	24	29	7	0	0	10	16	24	37	19	19	0	0	6	0	0	0
"31"	"2af9984b01d4e021b754653a237cf18d"	21	8	11	32	22	26	8	14	10	13	15	26	14	8	4	0	16	12	0	6	0
"32"	"527387fe7ec6d69ada7ce0b162a1c387"	20	2	13	25	8	42	5	0	0	25	14	17	23	14	38	2	9	5	2	0	0
"33"	"27d8b4f760881e4611b30500daddfa86"	20	7	12	19	31	26	9	5	5	21	5	22	21	17	27	4	4	5	0	3	0
"34"	"4c6ff87d35c56301a25e05cbb288d0eb"	0	0	0	0	0	0	10	9	0	0	0	4	2	0	0	102	44	90	0	0	0
"35"	"d3948d286359740410fba9f299c68da5"	32	7	0	14	13	20	0	18	15	36	7	38	0	5	25	12	13	0	1	0	0
"36"	"46a190b59ac9e982d2f0924a4559eee2"	16	21	18	19	26	14	7	7	0	34	13	10	13	10	23	12	7	5	0	0	0
"37"	"222a3260cff1e0f578334ca24e89c63f"	0	2	0	4	5	4	23	25	21	3	3	8	3	2	4	34	34	41	13	20	5
"38"	"7172c31bb869127f2f30e7f3ce53dac5"	19	2	15	14	1	21	4	6	13	13	32	27	20	4	13	13	9	17	2	6	0
"39"	"5bd4e70204736238ad352c50f30543ff"	12	15	20	29	32	27	5	8	5	23	12	15	6	7	11	8	4	8	0	0	0
"40"	"3251fd09af479d688cab1b0d6bba5f16"	7	3	4	3	7	27	32	25	30	0	6	0	0	0	4	28	28	20	3	14	3
"41"	"ad0b06be0ca4b5e9ca0ccae06825c0a2"	21	7	10	25	0	18	0	8	17	3	30	13	23	6	16	9	21	13	0	0	0
"42"	"b68df4ea619c47b86b8b2a36ffb7be97"	33	5	19	18	8	6	0	0	0	38	30	36	26	6	12	0	0	0	0	0	0
"43"	"0513fa7c9fc1364a3d4166eeab034ed6"	33	0	19	32	21	35	0	1	4	18	12	10	6	14	23	0	0	0	0	0	0
"44"	"f9f16fecedf64ae8fb8e121567ba86bc"	13	0	0	7	0	25	16	0	10	15	18	12	25	11	28	15	7	19	6	0	0
"45"	"d5d7adf67ec0c1f0e9253d969d975d6f"	0	8	0	12	12	43	0	6	5	30	19	19	11	8	45	3	0	5	0	0	0
"46"	"30e69dda000d40b307ab6d1f40b006ca"	3	0	1	16	14	11	13	13	24	0	0	0	6	0	0	43	17	59	0	2	0
"47"	"0e6ee56ee6ec01efcb24af37ba35511d"	13	5	6	23	16	16	23	16	28	13	7	5	7	0	9	12	7	13	0	0	1
"48"	"bbda95b04dc89acd3ac8f85950b31178"	14	6	10	18	23	28	22	7	36	9	8	5	10	0	0	5	6	9	2	2	0
"49"	"b38d68d0ec9b56276b3c4ce1d6e1049e"	0	0	0	2	3	1	9	5	12	0	0	3	6	2	0	73	60	41	0	0	0
"50"	"b228935af23b85c1d0f2142f9ba4df2e"	0	0	0	4	2	0	13	6	10	2	0	0	0	0	0	66	32	77	0	0	0
"51"	"8b43dcb76cea74f62c84e682777baa81"	0	0	0	2	1	5	1	9	2	0	0	2	4	1	2	57	73	53	0	0	0
"52"	"b1f6a046115a6a92a9d7247d03ef3ea1"	12	7	0	7	7	8	13	23	27	8	3	11	21	13	4	9	10	10	6	7	5
"53"	"0c70da89480191d10a255342068c217a"	15	5	9	14	17	14	6	15	13	7	5	13	3	0	10	13	21	17	0	9	4
"54"	"3a8c01093b01ed9c4ded1d59054defb9"	0	6	8	33	19	40	0	5	2	19	12	19	15	11	15	6	0	0	0	0	0
"55"	"9e9f33a4d318f913affb33c40609e33d"	6	6	5	8	19	12	2	16	17	5	3	6	0	7	0	19	29	12	8	18	5
"56"	"b6bc5a4c6f681bfc2f50a48bfb107038"	13	3	19	14	9	10	8	3	6	29	19	24	9	16	14	3	1	0	0	0	0
"57"	"3f19ced386e50042122d690f4f20ca78"	4	0	0	2	4	6	27	11	11	2	0	0	3	0	0	28	29	44	6	12	10
"58"	"b559a12f9b2c44ed6e2abbc25d55ab1d"	10	11	22	15	13	6	8	10	9	21	7	28	14	12	0	0	0	3	5	2	3
"59"	"5e597c82b88d44ab6688cd9fc3fafd5c"	4	0	7	20	18	8	9	13	4	18	14	0	14	0	16	15	6	26	6	0	1
"60"	"d4ad1cf9749096067f1e53d57a2cce0b"	32	10	19	25	6	28	5	2	3	13	5	15	14	0	11	0	5	0	0	0	0
"61"	"3bbfeb2876d9790633ad78f94e2598c7"	22	7	27	15	12	16	0	0	0	16	15	21	22	6	13	0	0	0	0	0	0
"62"	"88473b75abf3932ed5caa5fddca3a53c"	7	1	12	14	21	16	9	4	6	8	19	7	9	3	19	12	4	16	0	0	0
"63"	"498de7a161b0b22faa72c3c8c463b584"	6	9	7	0	10	17	9	10	11	7	21	9	17	14	0	7	11	13	0	6	0
"64"	"b812b3053f0541572f21a7a607b926d8"	12	9	6	30	12	9	0	0	0	24	24	8	16	9	22	0	0	0	0	0	0
"65"	"ffd4ee6a74e3ccefdca99c5c97ccdfce"	19	0	5	11	0	0	4	11	24	5	4	11	4	4	0	16	9	24	8	8	8
"66"	"afb12f5285b024caeb84381d1e0f6335"	18	9	11	5	8	14	0	7	9	14	11	21	14	17	4	0	4	6	0	0	0
"67"	"7b6b54f83d24c7e48643a199ed443c62"	16	3	10	12	13	24	0	0	2	19	25	13	10	9	13	0	0	3	0	0	0
"68"	"68f35a88b0fdce3de8906b14fb9223d8"	0	8	0	14	12	16	4	4	6	25	4	25	0	15	10	9	9	10	0	0	0
"69"	"9d609eda2315a006c6f68fcf9bfba065"	1	0	0	0	1	2	12	14	2	3	2	7	0	0	0	13	28	27	19	25	11
"70"	"e0efaf70bee8c8c899e80996dfcff86e"	19	10	14	27	18	25	0	2	4	0	0	13	0	10	10	4	0	10	0	0	0
"71"	"d756e7a79bd8062265aaa05df92dc2b0"	11	0	10	18	8	22	0	5	5	23	4	16	5	8	2	4	13	6	0	3	0
"72"	"9bf8cfb374fc21f353195fdea5d066f6"	5	4	19	4	0	5	0	10	18	10	5	14	16	8	5	6	3	12	7	12	0
"73"	"d7af2b474669dd2a9a9e7d096270d998"	7	2	3	3	3	4	6	15	4	9	5	5	6	0	0	20	21	27	2	21	0
"74"	"fd7173aac060342ba3a1e2486b9aafdb"	0	0	0	6	0	7	13	11	9	0	0	2	3	0	0	38	31	43	0	0	0
"75"	"f3e3fa166ed54017216730a01f4886fb"	0	7	15	33	22	0	2	5	6	16	0	24	9	0	10	9	0	0	0	0	0
"76"	"0bfe801254ada8f1242d74b620202428"	14	7	22	23	17	11	0	0	0	18	8	7	11	5	8	0	5	2	0	0	0
"77"	"c238151e7ec08ebf762b02ed10aa349b"	2	3	12	23	15	28	0	0	0	17	9	3	8	29	8	0	0	0	0	0	0
"78"	"aaba505609bf1d44568abb68de97f5b7"	2	0	2	5	1	5	14	13	5	0	2	3	1	0	2	21	21	21	9	24	6
"79"	"4a2251f693593b8f10b356ad07464425"	13	0	0	19	9	12	7	6	9	2	7	5	0	0	10	13	12	24	0	0	4
