"sample"	"mud.content"	"total.phosphorus"	"total.sulfur"	"organic.carbon"	"total.nitrogen"	"total.kjeldahl.nitrogen"	"sulfate"	"dnpoc"	"ammoniacal.nitrogen"	"nitrate"	"drp"
"1"	"AS1A1"	6.72	290	0.04	0.2	2.7	2.2	2200	9	0.74	0.05	0.012
"2"	"AS1A2"	8.09	300	0.06	0.24	1.8	1.5	2500	8	0.49	0.3	0.007
"3"	"AS1A3"	5.29	340	0.06	0.41	4.7	4	2900	12	0.97	0.64	0.016
"4"	"AS1B1"	3.84	300	0.05	0.24	2.6	1.9	2400	7	0.69	0.72	0.023
"5"	"AS1B2"	3.59	290	0.06	0.24	2	1.2	2400	10	0.81	0.83	0.041
"6"	"AS1B3"	3.88	320	0.06	0.26	1.4	0.8	2400	6	0.82	0.65	0.042
"7"	"AS1C1"	3.02	320	0.04	0.08	1.8	1.2	2800	6	0.43	0.53	0.041
"8"	"AS1C2"	1.11	260	0.04	0.09	1.8	1.1	2400	5	0.68	0.71	0.023
"9"	"AS1C3"	1.35	290	0.05	0.06	2.7	1.4	2700	3	0.36	1.32	0.033
"10"	"AS2A1"	7.64	360	0.05	0.03	1.9	1.5	2700	10	0.78	0.48	0.015
"11"	"AS2A2"	7.41	370	0.05	0.36	1.6	0.8	2700	11	0.96	0.75	0.019
"12"	"AS2A3"	10.02	380	0.06	0.33	2.4	1.7	2300	7	0.88	0.7	0.005
"13"	"AS2B1"	7.72	390	0.05	0.21	3.8	3.7	2600	5	2.4	0.108	0.021
"14"	"AS2B2"	7.81	390	0.04	0.25	1.5	1.4	2200	4	0.77	0.097	0.094
"15"	"AS2B3"	16	410	0.05	0.26	3.6	3.5	2700	6.5	2.3	0.105	0.038
"16"	"AS2C1"	0.2	320	0.03	0.08	2	1.9	2400	4	0.55	0.026	0.179
"17"	"AS2C2"	0.21	290	0.02	0.07	1.2	1.1	2200	4	0.33	0.028	0.138
"18"	"AS2C3"	0.32	360	0.02	0.05	1.5	1.4	2100	4	0.32	0.136	0.173
"19"	"S3C1"	0.18	300	0.02	0.06	0.4	0.4	2600	3	0.077	0.072	0.03
"20"	"S3C2"	0.31	320	0.02	0.06	0.6	0.5	2600	3	0.101	0.071	0.082
"21"	"S3C3"	0.25	290	0.03	0.06	0.6	0.5	2600	3	0.21	0.07	0.069
